id,created_at,text
940418021381853184,2017-12-12 03:08:23,b'@billyjean_26 @realDonaldTrump @nytimes President Obama is the worse president in my long life and his administration is the most corrupted.'
940417588387033089,2017-12-12 03:06:39,"b""RT @HaroldLang16: @realDonaldTrump @nytimes I can't understand why the Haters hate a president that is working extremely hard to protect an\xe2\x80\xa6"""
940417550034358273,2017-12-12 03:06:30,b'@wil_flo210 @realDonaldTrump @nytimes Yes! I agree! The democratic Party did corruptly collide with Russia and this must be investigated.'
940417028166438914,2017-12-12 03:04:26,"b""RT @HaroldLang16: @realDonaldTrump @nytimes Collusion, President Obama gave Russia's ally Iran 1.7 billion. Iran is a terrorist country thr\xe2\x80\xa6"""
940416990887534592,2017-12-12 03:04:17,"b""@realDonaldTrump @nytimes Collusion, President Obama gave Russia's ally Iran 1.7 billion. Iran is a terrorist count\xe2\x80\xa6 https://t.co/fBt9g9wkdC"""
940416464586199040,2017-12-12 03:02:11,b'@realDonaldTrump @nytimes Mueller must recuse himself or prove he is impartial.'
940416326711070720,2017-12-12 03:01:39,b'@realDonaldTrump @nytimes When John Podesta gets arrested do you think he will sing like a canary?'
940416197815828480,2017-12-12 03:01:08,"b'@realDonaldTrump @nytimes in America you are innocent until proven guilty, unless the socialist Democrats take over\xe2\x80\xa6 https://t.co/NnRhKaI9aD'"
940416095487479809,2017-12-12 03:00:43,b'@realDonaldTrump @nytimes Collusion Hillary and the sale of 20% uranium.'
940416019759280128,2017-12-12 03:00:25,"b'@realDonaldTrump @nytimes I think John Podesta is the next to go, what do you think?'"
940415919528054784,2017-12-12 03:00:01,b'@realDonaldTrump @nytimes It will take Mueller years to get to the bottom of the Clinton foundation laundering scheme.'
940414629536202752,2017-12-12 02:54:54,b'RT @HaroldLang16: @realDonaldTrump @nytimes best president ever.'
940414336274763777,2017-12-12 02:53:44,b'@BeatriceHazele2 @IvankaTrump @AstroPeggy @realDonaldTrump You actually believe your Socialist Democratic rhetoric.\xe2\x80\xa6 https://t.co/PvgPXbsWGt'
940412169866350594,2017-12-12 02:45:07,b'@realDonaldTrump @nytimes best president ever.'
940410442194747398,2017-12-12 02:38:16,"b""@realDonaldTrump @nytimes I can't understand why the Haters hate a president that is working extremely hard to prot\xe2\x80\xa6 https://t.co/6kYq4i4Jsi"""
940410054607589376,2017-12-12 02:36:43,"b""@BeatriceHazele2 @IvankaTrump @AstroPeggy @realDonaldTrump I can't understand why the Haters hate a president that\xe2\x80\xa6 https://t.co/yUbBfKbOGd"""
940409597021556736,2017-12-12 02:34:54,"b""@WhiteHouse I can't understand why the Haters hate a president that is working extremely hard to protect and make A\xe2\x80\xa6 https://t.co/OBWQ0dD8G9"""
940409298982666240,2017-12-12 02:33:43,"b""I can't understand why the Haters hate a president that is working extremely hard to protect and make America a bet\xe2\x80\xa6 https://t.co/QfaXjb0BUJ"""
940388808587141126,2017-12-12 01:12:18,b'@IvankaTrump @AstroPeggy @realDonaldTrump Ivanka will be the first women president.'
940388549341470720,2017-12-12 01:11:16,b'@clivebushjd @SiddonsDan Adam needs to go to jail.'
940387684975022080,2017-12-12 01:07:50,b'@realDonaldTrump @nytimes President Trump will go down in history a great president.'
940383494030659585,2017-12-12 00:51:11,b'@realDonaldTrump Why would I care about how many spouses a person has? In America you are innocent until proven gui\xe2\x80\xa6 https://t.co/M72yMtTlWl'
940383116656484352,2017-12-12 00:49:41,b'@Louise314159 @JacobAWohl @realDonaldTrump @nytimes Why would I care about how many spouses a person has? In Americ\xe2\x80\xa6 https://t.co/Eq3GgI7Xfy'
940381942473723906,2017-12-12 00:45:01,b'@Louise314159 @JacobAWohl @realDonaldTrump @nytimes stop spitting out is Dems hate rhetoric. Trump is saving you fr\xe2\x80\xa6 https://t.co/QQVR9NaUoQ'
940378949196140554,2017-12-12 00:33:07,b'RT @HaroldLang16: @realDonaldTrump @nytimes Best president in decades.'
940378911829118977,2017-12-12 00:32:58,b'@realDonaldTrump @nytimes Love this president.'
940377567944683520,2017-12-12 00:27:38,b'@realDonaldTrump @nytimes Best president in decades.'
940366712385560576,2017-12-11 23:44:30,"b'Question, from the newbie, if I post in the Donald J. Trump thread does my comments stay on top of the thread and c\xe2\x80\xa6 https://t.co/uUO53wbkzp'"
940365661934456833,2017-12-11 23:40:19,b'@TheBizarroPrez @WhiteHouse Sorry! college was a very long time ago and I wish I could go back.'
940363867749781504,2017-12-11 23:33:11,"b'@Louise314159 @JacobAWohl @realDonaldTrump @nytimes Louise, the Democrats are always trying to take created for thi\xe2\x80\xa6 https://t.co/5zNOGnxqTD'"
940362451828264960,2017-12-11 23:27:34,"b'@Louise314159 @JacobAWohl @realDonaldTrump @nytimes Seventy-five years ago, on October 24, 1940, the eight-hour day\xe2\x80\xa6 https://t.co/SUMMWH4VsZ'"
940361056043577344,2017-12-11 23:22:01,"b'@Louise314159 @JacobAWohl @realDonaldTrump @nytimes Yes, but the law will protect us. The law is also protect us fr\xe2\x80\xa6 https://t.co/2zkf8rz35e'"
940359977264402432,2017-12-11 23:17:44,"b'@WhiteHouse We sure are, because President Trump is bringing back out space programs.'"
