id,created_at,text
940230077681414144,2017-12-11 14:41:33,"b""Hey #NewYork,\n\nI'm sorry people suck.\n\nI hope everybody injured makes a full recovery. https://t.co/4K2XX8OVsE"""
940226587492077574,2017-12-11 14:27:41,"b'There was an explosion in Manhattan.\n\nExcept this is on what ""the president"" chooses to focus.\n\n#FakePresident https://t.co/zeV0sl8XUu'"
940099996573036544,2017-12-11 06:04:40,"b'I paid my way through college, and am still paying. College tuition has all but tripled since you attended.\n\nI did\xe2\x80\xa6 https://t.co/l9Bd0G0ugt'"
940096542584664064,2017-12-11 05:50:56,"b'RT @alt_labor: Please pray, Lindsay broke his spine after sticking his entire head up Trump\xe2\x80\x99s ass #prayforLindsey https://t.co/eoLyNuPFna'"
940096478042734592,2017-12-11 05:50:41,"b'RT @wilw: Hi, Alabama. You have an easy choice to make on Tuesday, between @GDouglasJones, who put murderous racists in jail, and human gar\xe2\x80\xa6'"
940096418731003905,2017-12-11 05:50:27,b'RT @goldengateblond: The 13th abolished slavery.\nThe 15th gave all races the vote.\nThe 19th gave women the vote.\nThe 24th abolished poll ta\xe2\x80\xa6'
940096032951623681,2017-12-11 05:48:55,b'@BMSTheMovie @SLeigher88 @j0jj3 @ZeldaWeisberger @MarcVinther I have yet to receive my rewards and Eric Falconer is\xe2\x80\xa6 https://t.co/zJo36F88M1'
940094962200297472,2017-12-11 05:44:39,"b""@realDonaldTrump There's no war on Christmas, you fucking moron."""
940093183425363968,2017-12-11 05:37:35,b'@PaulSzoldra @andylassner  https://t.co/wCT1tP4QF6'
940092721275985921,2017-12-11 05:35:45,"b'RT @thehill: JUST IN: Trump accusers to unite, demand Congress investigate sexual misconduct allegations against Trump https://t.co/queUoSX\xe2\x80\xa6'"
940092628216856576,2017-12-11 05:35:23,"b""RT @timothycsimons: fuck you paid protesters fuck you 3 million illegal votes fuck you obama wasn't born in america fuck you literally fuck\xe2\x80\xa6"""
940092452475625472,2017-12-11 05:34:41,b'RT @JuddLegum: Dear Senator Graham:\n\nThis is your official government account.\n\nWhy are you using it to promote the for-profit business of\xe2\x80\xa6'
940092319025344512,2017-12-11 05:34:09,"b""RT @bessbell: Again I'm sorry about the language but if we fucking elect to the US goddamn Senate a pedophile who openly says women shouldn\xe2\x80\xa6"""
940092105036197890,2017-12-11 05:33:18,b'RT @CoryBooker: Well I am in the United States Senate &amp; I don\xe2\x80\x99t want to be next to you wondering if Senate Pages will be safe from your adv\xe2\x80\xa6'
940061513410154497,2017-12-11 03:31:44,"b'RT @MarkRuffalo: Dear @BarackObama if there was any way you could swing it, a visit from you to Alabama could go a long way for the goodnes\xe2\x80\xa6'"
940058680443076608,2017-12-11 03:20:29,"b""@kayleighmcenany Let's see how many people this tweet triggers...\n\nHappy holidays! https://t.co/P3zbwnjX4d"""
940058408924753920,2017-12-11 03:19:24,b'RT @SarahKSilverman: ...since like 352 days ago? Every president has said it. U know this \xe2\x80\x9cWe\xe2\x80\x99re gonna say merry Christmas again\xe2\x80\x9d thing is\xe2\x80\xa6'
940058321649778689,2017-12-11 03:19:03,"b'RT @DanielSeidemann: My ailing father - 93 years old, a victim &amp; defeater of Nazism, a right-wing Orthodox Jew - was asked by the physician\xe2\x80\xa6'"
940047450298912768,2017-12-11 02:35:52,b'RT @jules_su: You could easily retweet this every few hours with no confusion. https://t.co/48HNO2GYNM'
940046083652067330,2017-12-11 02:30:26,"b'RT @MarkRuffalo: Keaton, will you\xe2\x80\x99ve my guest at the Premiere of #InfinityWar too? I think you are about one of the coolest kids I have eve\xe2\x80\xa6'"
940045702498885633,2017-12-11 02:28:55,b'I personally have never been bullied.\n\nI have also never been a bully.\n\nI never saw the point in breaking people do\xe2\x80\xa6 https://t.co/WLzUsnSB1S'
940044619554766848,2017-12-11 02:24:37,b'There should be extreme vetting for all political candidates.'
940022581293473792,2017-12-11 00:57:02,"b""RT @IronStache: If I'm in a foxhole I don't want to put my life in the hands of somebody who I couldn't trust to babysit.\n#DougJonesForSena\xe2\x80\xa6"""
940011358883647488,2017-12-11 00:12:27,b'RT @benjaminwittes: It annoys me that Twitter keeps telling me \xe2\x80\x9cWho to follow\xe2\x80\x9d\xe2\x80\x94both because I prefer to decide that myself and because it s\xe2\x80\xa6'
940011289086251008,2017-12-11 00:12:10,b'RT @brianklaas: It\xe2\x80\x99s been a week and a half since Trump retweeted a neo-fascist who appeared as a guest on Radio Aryan\xe2\x80\x94right after they rea\xe2\x80\xa6'
939919127988367361,2017-12-10 18:05:57,b'@lismerrett @TheAntonysj @GlennHowerton @NetflixUK UK Office is better than US Office'
939918473181978631,2017-12-10 18:03:21,b'@GlennHowerton Good thing I have both Netflix and Hulu https://t.co/Lkqs7z6CRc'
939918104221638656,2017-12-10 18:01:53,b'RT @ASlavitt: There are many distractions. There are urgent things 2 do now:\n-Jones in AL\n-PR/USVI\n-Tax bill\n-ACA Enrollment\n-Trump\xe2\x80\x99s accus\xe2\x80\xa6'
939918047799803904,2017-12-10 18:01:40,b'RT @JordanUhl: At Trump\xe2\x80\x99s rally last night:\n\n-He endorsed a pedophile\n\n-A speaker compared his Israel decision to \xe2\x80\x9cJesus\xe2\x80\x99 return\xe2\x80\x9d\n\n-He mock\xe2\x80\xa6'
939910992439496704,2017-12-10 17:33:37,"b""It's simple, Alabama:\n\nDon't vote for the pedophile.\n\nThe fact that I even have to type those words in 2017 is insa\xe2\x80\xa6 https://t.co/7WpaJNlPlh"""
939908639527198722,2017-12-10 17:24:16,"b""You're never too old to get a @NHLFlyers teddy bear from your dad for Christmas \xf0\x9f\x90\xbb\xf0\x9f\x90\xbb\xf0\x9f\x90\xbb https://t.co/OYeXEA6I6u"""
939900248184541184,2017-12-10 16:50:56,b'RT @DemetriMartin: https://t.co/DkSnMyCeKv https://t.co/n98I2qGm2H'
939899857581629440,2017-12-10 16:49:23,b'@BBCWorld Score 1 for the home team https://t.co/50EwARVuEG'
939897511661244416,2017-12-10 16:40:03,"b'RT @TheDweck: \xe2\x80\x9cGet out of this JCPenney, Roy.\xe2\x80\x9d\n\n-- Gadsen Mall Security https://t.co/r5lzhXciSS'"
939897094755807238,2017-12-10 16:38:24,b'RT @Bencjacobs: Cory Booker is calling for Trump to follow Al Franken and resign over allegations of sexual harassment on interview with @a\xe2\x80\xa6'
939896896906244096,2017-12-10 16:37:37,"b'RT @Mike_P_Williams: Trump, the man who publicly displayed a Photoshopped Time cover, lied about crowd sizes, a call from the Boy Scouts Le\xe2\x80\xa6'"
939896374832893954,2017-12-10 16:35:32,b'@realDonaldTrump  https://t.co/0jOdWaeeDG'
939895783989678080,2017-12-10 16:33:11,b'RT @kylegriffin1: The president calling for a journalist to be fired seems like a public threat to the First Amendment. https://t.co/Vx4csN\xe2\x80\xa6'
939895658491858945,2017-12-10 16:32:42,b'RT @Pappiness: Donald Trump fighting with Dave Weigel over crowd size is the first time someone has gone out of their way to prove there we\xe2\x80\xa6'
939895645753749504,2017-12-10 16:32:39,"b""RT @JYSexton: Donald Trump and Roy Moore represent all of the worldviews we should've pushed to the margins of society a long, long time ag\xe2\x80\xa6"""
939895594579087362,2017-12-10 16:32:26,"b'RT @kumailn: A big shout out to the firefighters of CA, working overtime to contain these dreadful fires. You are appreciated @LACoFDPIO.'"
939771879585472512,2017-12-10 08:20:50,b'RT @OhNoSheTwitnt: My favorite part in the Bible is when Jesus says that voting for a child molester who speaks fondly of slavery is better\xe2\x80\xa6'
939771461815947264,2017-12-10 08:19:11,b'Trump supporters: @daveweigel should apologize for his tweet!\n\nAlso Trump supporters: Praises every single fucking\xe2\x80\xa6 https://t.co/2s2qw54i33'
939770158343708674,2017-12-10 08:14:00,"b'RT @neeratanden: I demand an apology for the 10,000 times @realDonaldTrump has lied and misled the country.  Retweet if you think he should\xe2\x80\xa6'"
939769980408778752,2017-12-10 08:13:18,"b""@AnnCoulter Are you really trying to claim that there are no videos at all of cops killing African Americans?\n\nGod you're a fucking moron."""
939768820469702657,2017-12-10 08:08:41,b'RT @IronStache: Did Paul Ryan decide Social Security was a waste of money before or after he used it to pay for college?\nhttps://t.co/e5GGX\xe2\x80\xa6'
939768431599144960,2017-12-10 08:07:08,b'@KoreyEdwards6 @iX_Relaxx @Obielicious @realDonaldTrump @daveweigel @realDonaldTrump lies on Twitter more than anyb\xe2\x80\xa6 https://t.co/Cj0h0korcW'
939767901602672640,2017-12-10 08:05:02,"b'RT @mradamscott: Wow, you must be all tuckered out after that one! Let\xe2\x80\x99s get you to the bathroom to make another poo-poo then lay down and\xe2\x80\xa6'"
939739353722621952,2017-12-10 06:11:36,b'RT @simonhedlin: This is what @SenateMajLdr McConnell said in 1999 after having removed Senator Packwood from office over sexual misconduct\xe2\x80\xa6'
939734776600293377,2017-12-10 05:53:24,b'Shout-out to the creator of the water bottle!\n\nThanks for giving me the ability to drink wine while lying in bed \xf0\x9f\x8d\xb7\xf0\x9f\x9b\x8f\xe2\x80\xa6 https://t.co/1fuGPwDaKp'
939733071913472000,2017-12-10 05:46:38,b'RT @danpfeiffer: Trump is attacking @daveweigel because he is sad and vain but also because he doesn\xe2\x80\x99t want his supporters to believe what\xe2\x80\xa6'
939732879227146240,2017-12-10 05:45:52,b'@BenSasse Did you explain to them how you and your fellow republicans fucked them over on healthcare? https://t.co/B8VRtvp2MP'
939339839568273408,2017-12-09 03:44:04,b'RT @alexblagg: This is literally why Al Franken was just forced to resign https://t.co/nB8xzYyyyv'
939324063482294272,2017-12-09 02:41:23,"b""RT @JasonKander: Nope. \n(I've traveled to both places for work) https://t.co/gI0n05DDan"""
939276105248321537,2017-12-08 23:30:49,b'@mradamscott @Delta I recommend just not flying @Delta in the first place.'
939273717238194176,2017-12-08 23:21:19,"b""When gays start killing bakers by the millions you might have an argument.\n\nUntil then, you're a fucking moron. https://t.co/lGyPwu9zgz"""
939264101800345600,2017-12-08 22:43:07,"b""C'mon, #Iowa, there has to be better candidates than this racist jackass.\n\nVote smarter. https://t.co/ROvQp0v5FO"""
939263080827097088,2017-12-08 22:39:03,b'RT @SteveBoyer5000: It was actually 32% approval. So this tweet is even more pathetic. https://t.co/MaWJFMmJoQ'
939262930096476160,2017-12-08 22:38:27,"b'RT @waltshaub: I\xe2\x80\x99m increasingly worried Trump may go after Mueller. As a country, we must be prepared. Congress should signal now that such\xe2\x80\xa6'"
939260065810444290,2017-12-08 22:27:04,b'RT @Ryn0ceros: @RawStory Seems to a be a trend yeah? Republicans accusing people of things theyre guilty of themselves?'
939253016930213888,2017-12-08 21:59:04,b'\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb5This land is made for corporations and billionaires\xf0\x9f\x8e\xb5\xf0\x9f\x8e\xb6 https://t.co/zbhmlZOkRg'
939252665695068160,2017-12-08 21:57:40,b'This. Was. Murder.\n\nThat cop was on a fucking power trip and tried to scare him into making a mistake. That cop was\xe2\x80\xa6 https://t.co/KfuHFFwVrq'
939206225589358592,2017-12-08 18:53:08,b'RT @ASlavitt: ACA enrollment ends in 1 week.\n\n4.5 million Americans can get covered at NO premium. They must just apply by 12/15.\n\nTrump do\xe2\x80\xa6'
939206146023460865,2017-12-08 18:52:49,"b'RT @brianklaas: Jobs added, February through November:\n\n2013: +2.04m\n2014: +2.55m\n2015: +2.24m\n2016: +1.95m\n2017: +1.70m\n\nSo, 2017 has the\xe2\x80\xa6'"
939206018977935361,2017-12-08 18:52:19,"b'RT @ASlavitt: If you want to defeat this lopsided tax bill, it is not a done deal. \n\nEfforts in ME, AZ, CA, NY, NJ especially critical.\n\nMo\xe2\x80\xa6'"
939008637317419008,2017-12-08 05:47:59,"b'RT @NHLFlyers: #Flyers WIN!! That\xe2\x80\x99s three in a row \xf0\x9f\x99\x83 #PHIvsVAN\n\nSee ya back in Philly on Tuesday, 7pm. Join us: https://t.co/AkLJsTvR4X htt\xe2\x80\xa6'"
938990026720813057,2017-12-08 04:34:02,b'@Litzz11 @kylegriffin1  https://t.co/cB50Zi4irI'
938988225485352960,2017-12-08 04:26:53,b'@meganamram @TVGuide I looooooooove @nbcthegoodplace! https://t.co/9Vpp6V7v0Z'
938986667804897280,2017-12-08 04:20:41,"b'RT @AstroKomrade: Thank you to all the first responders, firefighters, and citizens willing to help fight these California wildfires. #Cali\xe2\x80\xa6'"
938986507087548416,2017-12-08 04:20:03,b'@DerekCressman @MotherJones  https://t.co/ywysaHZTbp'
938982367003336704,2017-12-08 04:03:36,b'RT @MarkRuffalo: Not a moment too soon.  https://t.co/y5QbJqlLHH'
938981886369697792,2017-12-08 04:01:41,b'RT @brianschatz: Severe weather is getting worse and more frequent. It is a direct result of the greenhouse gases we put into the air.'
