id,created_at,text
940423451881467904,2017-12-12 03:29:57,"b""RT @DavidCforreal: Growing up I wanted to be Glenn Tipton with all my heart. Now, I'm a grandfather. I'm just as happy without the guitar s\xe2\x80\xa6"""
940374746067238912,2017-12-12 00:16:25,b'@RonPaul @JustinTrudeau @MaximeBernier @AndrewScheer   All corrupt. All paid off'
940374288863039488,2017-12-12 00:14:36,b'@RonPaul I wish I could retweet this every 5 min'
940374170273308677,2017-12-12 00:14:08,b'@RonPaul All govt\xe2\x80\x99s'
940373916782129152,2017-12-12 00:13:07,"b'RT @RonPaul: Government is Waste, Fraud, and Abuse https://t.co/b5tTK6hPQi'"
940373834024325120,2017-12-12 00:12:47,b'RT @MassDeception1: https://t.co/uJyZ8DePos'
940372325442228230,2017-12-12 00:06:48,b'@EmpireFiles @AbbyMartin Someone needs a good punch'
940372266113789953,2017-12-12 00:06:34,"b'RT @EmpireFiles: Israeli citizens explain why their 3,000-year-old claim makes it right to steal Palestinian land // Full interview w/ @Abb\xe2\x80\xa6'"
940372138225258496,2017-12-12 00:06:03,b'@DaysofPalestine #karma those pricks will reap what they sow  #israelsucks'
940371541145083904,2017-12-12 00:03:41,"b'RT @DaysofPalestine: This is Israel: ""defending"" itself against scary existential threats disguised as defenceless Palestinian children htt\xe2\x80\xa6'"
940369512133742592,2017-12-11 23:55:37,b'@LizzyM_TO @JustinTrudeau  https://t.co/UgkBSevBRq'
940369455829438465,2017-12-11 23:55:24,b'@LizzyM_TO @JustinTrudeau  https://t.co/PGtzaSTbQ3'
940369338355286019,2017-12-11 23:54:56,b'@benabyad Israel sucks'
940369295883857920,2017-12-11 23:54:46,b'@benabyad  https://t.co/ytZknnvNDk'
940293132301762560,2017-12-11 18:52:07,b'@Dangerous_Troll @EffieGib You also forgot snow shovelling'
940292382255452164,2017-12-11 18:49:08,b'@Dangerous_Troll @EffieGib The ONLY winners in custody battles are lawyers. Canadian family law is so badly broken it can\xe2\x80\x99t be repaired.'
940291936375787520,2017-12-11 18:47:22,b'RT @Dangerous_Troll: MALE PRIVILEGE:\n\nDeaths in battle\nMen 97.7%\nWomen 2.3%\n\nHomelessness\nMen 62%\nWomen 38%\n\nSuicides\nMen 77.9%\nWomen 22.1%\xe2\x80\xa6'
940245471142039553,2017-12-11 15:42:43,"b'@PaganGod777 @EffieGib @SarahW_P Never EVER, confuse Education with Intelligence'"
940244528187035650,2017-12-11 15:38:59,b'RT @PaganGod777: @SarahW_P @EffieGib My favourite meme https://t.co/eQvECS6QFZ'
940243500540547072,2017-12-11 15:34:54,b'@PaulC74039264 @TRobinsonNewEra Are you a Trump supporter ?'
940243353010089986,2017-12-11 15:34:18,b'@PaulC74039264 @TRobinsonNewEra It\xe2\x80\x99s THERE not their'
940225715261362179,2017-12-11 14:24:13,b'@EffieGib @DrJacobsRad @OttawaPolitico @CFIB They all are.'
940225536915329026,2017-12-11 14:23:31,b'@TRobinsonNewEra @PaulC74039264 Idiot ! You have no idea what is happening. You moron'
940177912598233088,2017-12-11 11:14:16,"b'RT @MiddleEastEye: ""God is not a real estate agent"" https://t.co/80Qg2dXIUL'"
940173947215208449,2017-12-11 10:58:31,"b'RT @tsnurds: ""We don\'t have the technology to get to the moon any more..."" https://t.co/L1RkIbvCjq'"
940173615399661568,2017-12-11 10:57:12,b'RT @HealthRanger: Not everyone is going to get this joke... #Tesla #Edison https://t.co/SiyKkTGqYo'
940172606073917441,2017-12-11 10:53:11,b'RT @TigerJohnson10: @MaxAbrahms @7axles ISIS was not beaten because of the contribution from the impressive US Air Force. I think a better\xe2\x80\xa6'
940167123439095808,2017-12-11 10:31:24,"b'RT @darren_dazmav_2: GOD DOES NOT SUPPORT BOMBING SCHOOLS AND HOSPITALS KILLING 550 INNOCENT CHILDREN, GOD DOES NOT SUPPORT APARTHEID!\n\nGod\xe2\x80\xa6'"
940167050642718720,2017-12-11 10:31:06,"b""RT @LizzyM_TO: I wouldn't know b/c I don't watch MSM.  But is USA really claiming victory over #ISIS ? Americans must be the dumbest ass pe\xe2\x80\xa6"""
940082805639331841,2017-12-11 04:56:21,b'@UncleRee1 @AnnetteLast He is just another puppet.'
